CAT,LIB
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC ste alliance diffusion
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE AOUANI CHERIFA
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter PRET A PORTER ANGELITA
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS STE LICOSA
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter CHELBI MOHAMED AMINE
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC STE PRIX CHOC __
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE SASSI JIHENE
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT PANORAMA _
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES HAFFANI MOUNA
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC MAGAZIN ZEN KAIROUAN__
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE OUERGUI
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS SMUG S LAC/SODEXO
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE  SELLAMI   MOUNIR
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  ENNASR/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS THE SQUARE / SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  LAOUINA/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS STE FRIENDS COMPANY
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CARTHAGE/SODEXO
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE DE NUIT ABOUDA
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  BARDO/SODEXO
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB WOMENS ACCESSORY GLOBAL RETAIL
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS CHILIS EL MANAR / SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS FAST FOOD AMIGOS/SODEXO
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE HAMADA  OUMELK
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS PIZZERIA HAMHAMA/SODEXO
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE  KHEDER ET HEL
Travel-Hotel,DPAIEMENT TPE PORTEUR UIB HOTELS-LODING HOTEL DAR ZAGHOUAN
Personal Services-Professional services,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES vente de tickets restaurant
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT COIN DE LA MER
Education-Books & Supplies,DPAIEMENT TPE PORTEUR UIB STATIONERY STORES FRIKHA MOUNIR
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE BACCOUCHE
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SOCIETE PRIMOSHOP
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES MINI MARKET
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB SHOE STORES SOCIÉTÉ   JOLIESSE   NÉG
Shopping-General,DPAIEMENT TPE PORTEUR UIB Tourist Attractions and Exhibits STE MERIAM SARL
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE MELLOULI DONIA
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS FOOD FASHION
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES MAGAZIN ZEDD NABEUL
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE BEN MEDDEB
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE ABDELLAOUI HABIB
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB FAMILY CLOTHING STORES ste nabeul sport
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE AV DE PARIS/SODEXO
Health & Fitness-Gym & Sports,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES CLUB NAUTIQUE SIDI BOU SA
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT DAR BELHADJ
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS RESTAURANT EL BACH HEFDHI
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE BELHEDI SEMIA
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS FOUDHAILY SHOPPING /SODEXO
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB SHOE STORES STE JOLIESSE NEGOCE
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  HANNIBAL/SODEXO
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE AROUA / SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  MANOUBA/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS CAFE RESTAURANT L'ORIENT
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BEN MANSOUR ISKANDAR
Health & Fitness-Eye care,DPAIEMENT TPE PORTEUR UIB OPTICIANS.OPTICAL GOODS SINDA ANTAR
Personal Care-Beauty & Hair,DPAIEMENT TPE PORTEUR UIB BEAUTY SHOPS STE JASMINE COSMETICS DI
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE MARRAKCHI CHED
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  GABES/SODEXO
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB SHOE STORES OUSSEMA BEN KHALED MNEJJA
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS ANOUAR MARKET/SODEXO
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter GLOBAL RETAIL COMPANY
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS STE BC DISTRIBUTION
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE BOUAOUINA
Health & Fitness-Pharmacy,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHARMACIE MALEK MBAREK ZARAA
Food & Dining-Bars,DPAIEMENT TPE PORTEUR UIB BARS LE 716
Auto & Transport-Service & Auto Parts,DPAIEMENT TPE PORTEUR UIB Stations entretien et réparation AUTO CHARED ZOUHAIER
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES MAGAZIN ZEDD HAMMAMET
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS MI PRIX MARKET
Personal Services-Professional services,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES JAMEL HANTATI
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter STE RAMEZ
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter FIRAS ABDELAZIZ
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS MAGASIN BALSAM/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS PAPA JHONS FLAMINGO  SODEXO
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Prêt à porter SOCIETE STYLE FRIPE
Shopping-Home,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES SOCIETE CHEMLI HOME
Shopping-Home,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES TISSU CHEMLI
Health & Fitness-Doctors & Hospitals,DPAIEMENT TPE PORTEUR UIB DOCTORS DR BAHLOUL SONIA
Personal Care-Beauty & Hair,"DPAIEMENT TPE PORTEUR UIB BEAUTY SHOPS KESKES MAHASSEN "" CENTRE"
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS CNMT
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CARREFOUR/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  SIDI KHELIFA/ SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  EZZAHRA/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS SOCIETE THE CHILL
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  EZZAHRA/SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS SOCIETE THE CHILL
Education-Books & Supplies,DPAIEMENT TPE PORTEUR UIB STATIONERY STORES FRIKHA MOUNIR
Food & Dining-Bakerise,DPAIEMENT TPE PORTEUR UIB BAKERIES SOCIETE  SOUAD  DIFFUSIO
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB HARDWARE STORES STE ITECH PRO
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB JEWELLERY  STORES JOAILLERIE LAROUS
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC MAGAZIN ZEN MONASTIR
Travel-Rental Car & Taxi,DPAIEMENT TPE PORTEUR CONF ENTERPRISE RENT-A-CAR SOCIETE KHEMAKHEM  LOCAT
Health & Fitness-Medical Equipment & analysis ,DPAIEMENT TPE PORTEUR UIB MEDICAL EQUIPMENT and SUPPLIE SOCIETE BASTIDE TUNSIE
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE ANOUAR EXPRESS 2
Travel-Travel Agencies,DPAIEMENT TPE PORTEUR CONF TRAVEL AGENCIES STE UNIVERS TRAVELS
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE.M'BARKI
Travel-Air Travel,DPAIEMENT TPE PORTEUR UIB AIRLINES and  AIR CARRIRS STE HORIZON VOYAGES
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB SHOE STORES SHOES CENTER/  SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CENTRE X/SODEXO
Shopping-General,DPAIEMENT TPE PORTEUR UIB RSPECIALITY RETAIL CEG
Shopping-Home,DPAIEMENT TPE PORTEUR UIB HOME FURN.EQUIP. STE EUPHORIA HOME SARL
Health & Fitness-Eye care,DPAIEMENT TPE PORTEUR UIB OPTICIANS.OPTICAL GOODS SINDA ANTAR
Food & Dining-Meat & fish,DPAIEMENT TPE PORTEUR UIB SEAFOOD and MEAT/FOOD STORES BOUCHERIE ADEL CHOYAKH
Travel-Hotel,DPAIEMENT TPE PORTEUR UIB HOTELS-LODING HTL RIADH PALMS
Personal Care-Beauty & Hair,DPAIEMENT TPE PORTEUR UIB COSMETIC STORES STE 3 M COSMETIQUE
Auto & Transport-Car Rental,DPAIEMENT TPE PORTEUR UIB CAR RENTAL STE MABROUK  RENT A CAR
Shopping-Clothing,DPAIEMENT TPE PORTEUR CONF MENS and  BOYS CLOTHES Commerce habillement pret a porter
Food & Dining-Bars,"DPAIEMENT TPE PORTEUR UIB DISCOTHEQUE,NIGHT CLUB,CABARET ET BAR SKY BAR SARL"
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB ELECTRONICE STORES STE ELECTRO-SAT GROS
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Ready to wear MAGAZIN ZEDD SFAX
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB FAMILY CLOTHING STORES STE LIS NEGOCE
Bills and Utilities-Mobile Phone,DPAIEMENT TPE PORTEUR UIB TELECOMMUNICATIONS EQUP. RECHARGE DAB UIB
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB ELECTRIC STORES STE EL KSAR
Shopping-Home,DPAIEMENT TPE PORTEUR CONF BUILDING MATERIALS STORES LABBEN FETHI
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB CHILD CLOTHES STE MHIRI DISTRIBUTION
Health & Fitness-Doctors & Hospitals,DPAIEMENT TPE PORTEUR UIB DENTISTS DR ZIED BEN ROMDHANE
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB WOMENS ACCESSORY FOREVER LIVING PRODUCTS
Auto & Transport-Gas & Fuel,DPAIEMENT TPE PORTEUR UIB Petroleum/Petrol products MOUHAJRI STATIONS SERVICES TOTAL
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB COMPUTER SOFTWARE STORES DIGITAL WORLD SARL
Health & Fitness-Doctors & Hospitals,DPAIEMENT TPE PORTEUR UIB HOSPITALS I.H.C.T
Health & Fitness-Medical Equipment & analysis ,DPAIEMENT TPE PORTEUR UIB MEDICAL SERVICES and HEALTH MME DALILA ABROUG
Entertainment-Games,DPAIEMENT TPE PORTEUR UIB GAMES STORES STE BOULILA GROS DE VENT
Health & Fitness-Eye care,DPAIEMENT TPE PORTEUR CONF EYEGLASSES STE OPTIC CENTRALE
Health & Fitness-Doctors & Hospitals,DPAIEMENT TPE PORTEUR UIB DOCTORS DR BAHLOUL SONIA
Personal Care-Spa & Massage,DPAIEMENT TPE PORTEUR UIB HEALTH SPA /BEAUTY SPA LILI FORM
Shopping-General,DPAIEMENT TPE PORTEUR UIB Tourist Attractions and Exhibits STE MERIAM SARL
Food & Dining-Bars,DPAIEMENT TPE PORTEUR UIB BARS LE 716
Travel-Air Travel,DPAIEMENT TPE PORTEUR UIB Tunis Air TRANSPORT AERIEN
Personal Care-Beauty & Hair,"DPAIEMENT TPE PORTEUR UIB BEAUTY SHOPS KESKES MAHASSEN "" CENTRE"
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB COMPUTERS PERIPHERAL EQU. STE MAGEEK.NET SARL
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB HOUSEHOLD APPLIANCE STORE STE DECOGATO
Education-Books & Supplies,DPAIEMENT TPE PORTEUR UIB BOOK STORES ESPACE KOUNOUZ
Auto & Transport-Service & Auto Parts,DPAIEMENT TPE PORTEUR UIB Stations entretien et réparation AUTO MR BARG SADOK B SALAH
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB PROFESSIONAL SERVICES MAGAZIN ZEDD SOUKRA
Health & Fitness-Medical Equipment & analysis ,DPAIEMENT TPE PORTEUR UIB MEDICAL LABORATORIES LABORATOIRE D'ANALYSE ME
Auto & Transport-Service & Auto Parts,DPAIEMENT TPE PORTEUR UIB AUTOMOBILE DEALERS STE AUTOMOBILES ET DEVEL
Entertainment-Arts & Photography,"DPAIEMENT TPE PORTEUR UIB Commercial Art, Graphics, Photography ETS WALID CHAKROUN"
Auto & Transport-Service & Auto Parts,"DPAIEMENT TPE PORTEUR UIB MISCELLANEOUS AUTOMOTIVE, ELKHAL ELTAIEF BECHIR  AVENIR AUTO"
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB FAST FOOD REST. LA BOULE D OR
Shopping-Sporting Goods,DPAIEMENT TPE PORTEUR UIB SPORTING GOODS STORES DECATHLON TUNISIE SARL
Auto & Transport-Service & Auto Parts,"DPAIEMENT TPE PORTEUR UIB Pièces des véhicules à moteur, magasins d'accessoires SOCIETE CHAMAM"
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB WOMENS RAEDY-TO-WEAR STRS celio
Fees & Charges-Bank Fees & Commissions,DCLÔTURE DE COMPTE-   
Fees & Charges-credit repayment,DREMBOURS. ECHEANCE CREDIT-   
Income-Income,CDEBLOCAGE CREDIT-   
Income-Income,CGARANTIE INCENDIE-   
Uncategorized-Check,DCHQ MEME AGENCE-   
Fees & Charges-Bank products,DKIT OXYGENE SMS-   
Fees & Charges-Late Fee,DFRAIS ECHEANCE CRD IMPAYEE-   
Fees & Charges-Commissions,DDOMICILIATION TIT COMM-   
Uncategorized-Check,DRETRAIT CHEQUE-   
Fees & Charges-Bank Fees & Commissions,DTRF-FINAN-FIXING-   
Uncategorized-EFFET,DEFFET.ESC.IMPAYE-   
Fees & Charges-saving,DCAP EPARGNE-   
Fees & Charges-Bank products,DJOKER KIT-   
Income-Income,CVIREMENT RECU AUTRE AGENCE-   
Income-Income,CVERSEMENT INTERETS/CAT-   
Fees & Charges-Bank Fees & Commissions,DCERTIF. CHEQUE-   
Uncategorized-Transfer,DVIREMENT EMIS AUTRE AGENCE-   
Fees & Charges-Bank Fees & Commissions,DCOM MEP AUTO-   
Income-Income,CAPUREMENT OP MONETIQ INTER-   
Fees & Charges-Commissions,DPERCEPT/EXTOURNE COMMISSIONS-   
Fees & Charges-Bank Fees & Commissions,DCHQ AUTRE AG RECU-   
Fees & Charges-Bank Fees & Commissions,DVIREMENT EMIS AUTRE BANQUE-   
Uncategorized-EFFET,DEFFET PAYE-   
Fees & Charges-Bank Fees & Commissions,DCHQ RECUS COMP-   
Fees & Charges-Bank products,DKIT VISA ELECTRON SMS-   
Fees & Charges-Bank Fees & Commissions,DRECUPERATION FRAIS ARCHIVES-   
Fees & Charges-Bank Fees & Commissions,DREGULARISATION-   
Income-Income,CREMISE CHEQUES DEPLACEE-   
Business Services-Financial Services,DTRF-COMMER-NEGOCIE-   
Fees & Charges-Bank Fees & Commissions,DPRELEVEMENT NUMERO:-   
Income-Income,CVIREMENT MM AGENCE/MM CLIENT-   
Fees & Charges-Bank products,DABONNEMENT MESSA'GEK-   
Uncategorized-Transfer,DVIREMENT MULTIPLE EMIS-   
Uncategorized-EFFET,DFRAIS/REM.EFFET-   
Uncategorized-Cash & ATM,DRETRAIT AVEC IMPRIME-   
Uncategorized-Cash & ATM,DRETRAIT PORTEUR UIB / DAB CONF-   
Fees & Charges-Bank products,DSOUSCRIPTION CAT-   
Income-Income,CVERSEMENT ESPECE DEPLACE-   
Income-Income,CDA- FACTURE - REGLEMENT-   
Income-Income,CNIVELLEMENT POUR MIGRATION-   
Uncategorized-Cash & ATM,DRETRAIT DAB UIB PORTEUR UIB-   
Fees & Charges-Bank Fees & Commissions,DFRAIS/REMISE CHQ-   
Income-Income,CESCOMPTE EFFET AUTRE BQ HP-   
Income-Income,CSORT EFFET AUTRE AG/BQ-   
Fees & Charges-Bank Fees & Commissions,DFRAIS DE TENUE DE COMPTE-   
Income-Income,CREMBOURSEMENT CAT-   
Fees & Charges-Bank Fees & Commissions,DTRF-SCOL-FIXING-   
Uncategorized-Transfer,DAVA FRAIS ANUEL-   
Income-Income,CTRF-SCOL-NEGOCIE-   
Fees & Charges-Late Fee,DBLOCAGE / CPTE MARGE-   
Income-Income,CESCOMPTE EFFET AUTRE BQ-   
Fees & Charges-Commissions,DPERCEP/EXT COM.CAUT.EMISES SBE-   
Fees & Charges-Late Fee,DFRAIS DE DEPASSEMENT-   
Fees & Charges-credit repayment,DRECOUV. IMPAYES CREDIT-   
Fees & Charges-Commissions,DCOMM. REMB. ANTICIPE CRD-   
Fees & Charges-Bank Fees & Commissions,CRPT-FIN-FIXING-   
Fees & Charges-Bank Fees & Commissions,DDEMANDE EXTRAIT DE COMPTE-   
Uncategorized-Transfer,DOPE COM ETR-UNIB-   
Uncategorized-Cash & ATM,DRETRAIT DEP. AVEC IMPRIME-   
Fees & Charges-Late Fee,DBLOCAGE PROV.CHQ-   
Uncategorized-Transfer,DVIREMENT MEME AGENCE-   
Income-Income,CREGLEMENT NOTIFICATION-   
Uncategorized-Transfer,DVIREMENT RECU MEME AGENCE-   
Uncategorized-EFFET,DEFFET IMPAYE-   
Income-Income,CASSURANCE VIE-   
Fees & Charges-Bank Fees & Commissions,DSAISIE DE L'AVAL EN DEVISE-   
Uncategorized-EFFET,DREGLEMENT EFFETS ET OBLIGATION-   
Fees & Charges-Bank products,DASSUR FAMILLE-   
Fees & Charges-Bank products,DASSURANCE JOKER-   
Fees & Charges-Late Fee,CEXT-BLOCAGE/CHQ-   
Income-Income,CVERSEMENT ESPECES-   
Income-Income,CVIREMENT RECU CONFRERE-   
Fees & Charges-credit repayment,DFR. MISE EN PLACE CREDIT-   
Income-Income,CRPT-COM-FIXING
Income-Income,CACHAT DE DEVISES
Income-Income,CVERSEMENT INTERETS/BDC
Income-Income,CESCOMPTE AVAL AUTRE BQ HP
Fees & Charges-Bank products,DKIT MASTERCARD NATIONALE SMS
Income-Income,CREMBOURSEMENT BDC
Fees & Charges-Bank products,DKIT VISA ELECTRON UIBNET SMS
Income-Income,CREMISES CHEQUES
Income-Income,CTRAITEMENTS MDP
Fees & Charges-Bank products,DKIT OXYGENE UIBNET
Fees & Charges-Bank Fees & Commissions,DCOM MEP/ANN PROCURATION/CPTE
Income-Income,CRPT-COM-NEGOCIE
Income-Income,CTRF-FINAN-NEGOCIE
Income-Income,CANNUL.CHQ CERTIF
Income-Income,CRPT-SGMT
Uncategorized-Transfer,DVIREMENT PERMANENT GRH
Uncategorized-BDC,DSOUSCRIPTION BDC
Fees & Charges-Bank Fees & Commissions,DAMENDE 10-20% TRESOR
Uncategorized-Check,DSORT CHQ IMP
Fees & Charges-Bank Fees & Commissions,DCOM . DELIVRANCE  ATTESTATION
Income-Income,CVERSEMENT ESPECES GAB
Income-Income,CRPT-COM-NEGOCIE
Uncategorized-EFFET,DEFFET RECUS DES AGENCES
Fees & Charges-Bank Fees & Commissions,DREEDITION CODE  PIN
Income-Income,CRPT-SANS FRAIS-FIXING
Fees & Charges-Finance Charge,DTRAITEMENT JURIDIQUE
Fees & Charges-Bank products,DPACK PLATINE
Income-Income,CTRAITEMENT RH SOCIAL
Income-Income,CACHAT DE DEVISES
Fees & Charges-Bank products,DUIBNET
Income-Income,CCLOTURE DE COMPTE
Income-Income,CANNUL.CHQ CERTIF
Fees & Charges-Service Fee,DRECOUV IMP CDT CAP
Income-Income,CRPT-COM-FIXING
Income-Income,CTRF-COMMER-FIXING
Income-Income,CVERSEMENT INTERETS/BDC
Fees & Charges-credit repayment,DOUVER REMDOC IMP DOM
Income-Income,CRPT-FIN-VALEUR JOUR
Income-Income,CVIREMENT REJET COMPENS
Income-Income,CREG PAYE CHQ EXP
Uncategorized-Uncategorized,DSAISIE DES CAUTIONS
Uncategorized-Transfer,DVIR JUNIOR AUTRE AGENCE
Uncategorized-Cash & ATM,DPORTEUR UIB OP MONETIQ INTERN
Income-Income,COUVERTURE MCNE
Income-Income,CREG PAYE REMDOC IMP DOM
Fees & Charges-Bank products,DKIT VISA ELECTRON UIBNET SMS
Fees & Charges-Bank products,DABONNEMENT UIBSWIFT
Income-Income,CRPT-SGMT
Uncategorized-EFFET,DSORT EFFET MEME AG
Income-Income,CREMBOURSEMENT BDC
Fees & Charges-credit repayment,DANNULATION CREDOC IMP
Fees & Charges-Bank products,DABONNEMENT CARTE OXYGENE
Fees & Charges-Bank products,DABONNEMENT CARTE MOUV
Fees & Charges-Bank products,DKIT TP UIBNET
Uncategorized-Transfer,DGRH- SALAIRES ET PRIMES
Fees & Charges-Bank products,DKIT BUS INTERN. UIBNET PRO
Income-Income,EXTOURNE REMISE ESC
Income-Income,CREGUL .ERREUR DE CAISSE
Fees & Charges-Bank products,DABONNEMENT MASTER NAT
Fees & Charges-Bank products,DABONNEMENT CARTE CIBT
Uncategorized-Transfer,DINTERETS / AVANCE CAT
Income-Income,CRPT-I-TRANSFERT
Fees & Charges-Bank Fees & Commissions,DOPPOSITION
Fees & Charges-Bank products,DUIB@NKING MT940 CONFRERE
Income-Income,BOURSE
Income-Income,GRH- DIVERS RH
Fees & Charges-Bank products,KIT BUS INTERN. UIBNET PRO
Fees & Charges-Bank products,KIT BUS NATION. UIBNET PRO
Fees & Charges-Bank Fees & Commissions,DFRAIS REMISES CHQ
Fees & Charges-credit repayment,DAVAL PAYE
Fees & Charges-Bank products,KIT PRO
Fees & Charges-Bank products,KIT BUSINESS INETRNATIONAL SMS
Fees & Charges-Bank products,UIB@NKING MT940 CONFRERE
Fees & Charges-Bank Fees & Commissions,OPPOSITION
Fees & Charges-Bank products,PACK PLATINE DC
Fees & Charges-credit repayment,DOUVER REMDOC EXP
Fees & Charges-Bank products,PACK PLATINE INR
Fees & Charges-Bank products,KIT BUS NATION. UIBNET SMS PRO
Fees & Charges-Bank products,KIT MASTERCARD NAT UIBNET SMS
Uncategorized-BDC,DTOMBEE BDC
Income-Income,RPT-COM-VALEUR JOUR
Uncategorized-Cash & ATM,RETRAIT DIVERS
Fees & Charges-Bank products,ABONNEMENT CARTE MOUV
Income-Income,ESCOMPTE AVAL AUTRE BQ
Fees & Charges-Bank products,ABONNEMENT CARTE BUSINESS NAT
Fees & Charges-Bank products,ABONNEMENT C. BUSINESS INTER
Income-Income,EXTOURNE REMISE ESC
Fees & Charges-Bank Fees & Commissions,OPPOSITION CHQ
Fees & Charges-Bank products,DNOUVEAUX DIGIPASS
Uncategorized-Cash & ATM,RETRAIT DEVISE FIXING
Fees & Charges-Bank products,KIT PRO ALLIANCE
Income-Income,TRAITEMENT COMPTABLE  RH
Fees & Charges-Bank products,DREFECTION CARTE VE
Fees & Charges-Bank products,KIT TP MESSAGEK
Fees & Charges-Bank Fees & Commissions,DTRF-INTRA-FIXING
Uncategorized-EFFET,DMODIFICAT° EFFET
Fees & Charges-Bank products,KIT BUS INTETN. UIBNET SMS PRO
Income-Income,REGULARISATIONS DR
Fees & Charges-Bank products,KIT TP UIBNET
Uncategorized-Uncategorized,DOD MM DINAR
Fees & Charges-Bank products,KIT BUSINESS NATIONALE SMS
Fees & Charges-credit repayment,DIMPAYES DE CONSOLIDATION
Income-Income,VIREMENT RECU
Fees & Charges-Bank products,PACK PLATINE D
Fees & Charges-Bank Fees & Commissions,DTRF-SANS FRAIS-FIXING
Income-Income,TRF INTRA AUTRE AGENCE
Income-Income,BOURSE
Uncategorized-Cash & ATM,RETRAIT DEV/CHQ
Fees & Charges-Finance Charge,DREGUL RECOUV CLT
Income-Income,COMM SOUS DELEGATAIRE/ACHAT BB
Fees & Charges-Bank products,DLOCATION COFFRE-FORT
